Repository;PRs (MERGED);PRs (CLOSED)
go-xorm/xorm;339;64
rendrjs/rendr;208;79
anthonyshort/deku;145;46
joyent/libuv;116;652
gcanti/tcomb-form-native;86;43
likeastore/ngDialog;126;42
paularmstrong/swig;64;80
escoz/QuickDialog;125;88
1sters/material_design_zh;208;20
radiant-player/radiant-player-mac;114;33
esvit/ng-table;62;94
breach/thrust;98;10
kandanapp/kandan;175;27
olefredrik/FoundationPress;410;83
twitter-archive/CocoaSPDY;85;25
lucadegasperi/oauth2-server-laravel;90;68
NoamB/sorcery;223;71
balanced/balanced-dashboard;591;97
hipache/hipache;72;38
fastlane-old/deliver;93;23
Prototik/HoloEverywhere;69;52
mozilla/popcorn-js;199;100
jakerella/jquery-mockjax;129;57
1602/jugglingdb;142;42
tcoopman/image-webpack-loader;97;148
redux-zero/redux-zero;87;51
fastlane-old/snapshot;113;30
Famous/famous-angular;126;30
flowplayer/flowplayer;289;103
velesin/jasmine-jquery;72;59
gcanti/tcomb;87;22
webpack-contrib/file-loader;104;47
rowanmanning/joblint;9;131
orta/ARAnalytics;178;25
TylerBrock/mongo-hacker;82;25
esbullington/react-d3;163;28
artem-zinnatullin/qualitymatters;155;17
atom/vim-mode;271;114
solo-io/squash;100;14
jphp-group/jphp;114;17
bassjobsen/Bootstrap-3-Typeahead;99;32
trailsjs/trails;68;35
JustinTulloss/zeromq.node;153;52
jdewit/bootstrap-timepicker;61;55
JustinTulloss/zeromq.node;153;52
jdewit/bootstrap-timepicker;61;55
miripiruni/frontdesk;106;15
pat/thinking-sphinx;160;106
tildeio/htmlbars;299;45
dollarshaveclub/reframe.js;133;15
pencilblue/pencilblue;476;66
django-admin-bootstrapped/django-admin-bootstrapped;64;42
YahooArchive/mojito;837;169
instacart/lore;131;13
oam-dev/rudr;294;19
mongodb/mongo-hadoop;57;64
tombatossals/angular-leaflet-directive;336;56
montagejs/montage;981;201
fulcrum-agile/fulcrum;109;51
angular-ui/ui-calendar;51;55
kontena/kontena;1797;168
rharriso/bower-rails;95;8
petems/tugboat;164;20
paypal/react-engine;84;22
jescalan/roots;191;69
petems/tugboat;164;20
paypal/react-engine;84;22
jescalan/roots;191;69
RailsApps/rails_apps_composer;125;29
simpligility/maven-android-sdk-deployer;121;36
flatiron/cradle;48;81
thoughtbot/griddler;118;68
nmathewson/libevent_obsolete;34;74
donejs/donejs;415;42
walmartlabs/thorax;139;38
walmartlabs/thorax;139;38
mixi-inc/AndroidTraining;123;15
synrc/n2o;202;35
cloudfoundry-attic/vcap;4;126
ellson/MOTHBALLED-graphviz;105;16
Webschool-io/be-mean;513;253
SC5/sc5-styleguide;772;56
appc/spec;375;52
PocketMine/PocketMine-MP;201;546
clojure-liberator/liberator;110;35
dart-archive/angular.dart;127;783
spotify/SPTPersistentCache;96;7
marmelab/EventDrops;119;18
atom/markdown-preview;117;24
mrc-ide/covid-sim;293;47
bignerdranch/expandable-recycler-view;96;24
moredip/Frank;96;45
Zizaco/confide;144;53
posva/vue-mdc;74;63
Polymer/polymer-bundler;226;45
rashidkpc/kibana2;142;34
cedarbdd/cedar;199;78
f2prateek/dart;97;17
Azure/azure-sdk-for-node;2614;1273
rubymotion-community/BubbleWrap;230;40
twitter-archive/ambrose;103;14
hyperledger-archives/fabric;868;231
carmen-ruby/carmen;130;55
sprinkle-tool/sprinkle;64;36
jsierles/react-native-audio;74;39
bborn/communityengine;159;31
influxdata/influxdb-java;361;122
influxdata/influxdb-java;361;122
ashfurrow/xcode-hardware-performance;121;3
slack-ruby/slack-ruby-bot;89;25
saghul/pyuv;62;56
fbrctr/fabricator;57;48
coreos/coreos-kubernetes;295;176
bignerdranch/Freddy;109;35
fex-team/GMU;154;14
mongodb/mongo-php-driver-legacy;530;356
vrapper/vrapper;119;32
laravel/elixir;119;122
berkshelf/berkshelf;805;179
vrapper/vrapper;119;32
laravel/elixir;119;122
berkshelf/berkshelf;805;179
basho/rebar;33;274
amro/gibbon;97;15
grpc/grpc-experiments;206;22
SamSaffron/MiniProfiler;105;30
ipfs-inactive/js-ipfs-http-client;522;302
databricks/spark-csv;56;86
python-hyper/hyper;137;35
Netflix/astyanax;155;54
vccw-team/vccw;121;22
stefanpenner/ember-app-kit;255;60
Knockout-Contrib/Knockout-Validation;120;100
florent37/SingleDateAndTimePicker;87;14
TestStack/White;112;46
Polymer/old-docs-site;1213;264
